Customer Number,Certificate Number,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals
"265","13-R-0009","2024","12","","","","","","","","",""
"266","15-R-0002","2024","","","","","31","","","58","",""
"267","15-R-0003","2024","","","","","","19","1","33","",""
"268","15-R-0004","2024","","","","24","286","","","","",""
"273","13-R-0001","2024","","","","","","","","2","",""
"276","54-R-0001","2024","","","","","127","","","","",""
"278","54-R-0003","2024","5","5","","2","","","","","",""
"279","54-R-0004","2024","","","","","32","","","2","",""
"282","21-R-0013","2024","48","76","","","2","","","","",""
"285","23-R-0011","2024","","","","","26","","","11","",""
"286","23-R-0012","2024","","","","","211","163","","","",""
"287","21-R-0008","2024","","","","","","","","","",""
"288","21-R-0012","2024","","","","","","","","","",""
"289","23-R-0016","2024","22","38","13","75","268","1253","14","212","31",""
"290","21-R-0231","2024","","","","","","","","","",""
"291","21-R-0017","2024","","","","","","","","","",""
"292","21-R-0018","2024","","","","","147","","","","",""
"293","21-R-0019","2024","","","674","","","","","","",""
"294","21-R-0021","2024","","","","90","","48","","","",""
"295","21-R-0024","2024","","","","","","","","","",""
"298","21-R-0039","2024","7","","25","","","","","26","",""
"301","23-R-0017","2024","","","","","","12","","","",""
"302","21-R-0030","2024","","","","","","","","","",""
"304","21-R-0238","2024","","","","","","","","","",""
"306","23-R-0021","2024","","","6","6","182","","23","49","19",""
"307","21-R-0226","2024","","","","","","122","","","",""
"308","21-R-0037","2024","","","","","69","63","","37","",""
"311","21-R-0060","2024","","","","","33","","","7","",""
"312","21-R-0040","2024","","","40","122","16","27","","220","",""
"316","23-R-0024","2024","","","","","","34","","","",""
"319","21-R-0058","2024","","","","","12","","10","","28",""
"326","21-R-0072","2024","","","","6","","","","9","",""
"328","23-R-0027","2024","17","18","","","","","","19","",""
"330","21-R-0103","2024","","","","","","","","10","",""
"333","21-R-0081","2024","","","","","","","","6","",""
"336","21-R-0114","2024","","","","","65","13","","","",""
"337","23-R-0033","2024","","","2","","6","78","127","124","",""
"339","21-R-0088","2024","381","","","134","362","673","","","",""
"340","23-R-0055","2024","","","","","","","","","",""
"342","21-R-0107","2024","","","","","8","","","12","",""
"343","21-R-0109","2024","","","","","14","123","15","","4",""
"344","23-R-0068","2024","","","","","","","","","",""
"346","21-R-0118","2024","","","","","","23","","","",""
"347","23-R-0046","2024","","","","","","55","","","",""
"348","23-R-0189","2024","27","36","","","6","","","","",""
"350","23-R-0088","2024","","","","","","","","","",""
"352","23-R-0061","2024","","","287","","92","","","","",""
"353","23-R-0064","2024","","","","","","","","","",""
"357","23-R-0078","2024","7","5","","","5","","","","",""
"358","23-R-0114","2024","","","","","","","","","44",""
"360","23-R-0089","2024","","","196","","8623","","1","","222",""
"361","23-R-0090","2024","","2","","","46","8","","","",""
"366","23-R-0107","2024","331","","8","","647","65","","44","",""
"369","23-R-0122","2024","","","20","20","2637","","457","","727",""
"370","23-R-0124","2024","22","13","7","6","4","","","","8",""
"371","23-R-0126","2024","1097","644","","","","","","","",""
"373","23-R-0141","2024","","","7","","258","","23","","",""
"374","23-R-0133","2024","","","","","","","","","",""
"376","23-R-0135","2024","","8","43","78","31","","","","",""
"380","23-R-0143","2024","","","","","","","","","",""
"389","21-R-0051","2024","","","","336","100","","58","163","",""
"390","21-R-0053","2024","28","51","","","46","4","56","","65",""
"393","21-R-0065","2024","","","","","","","","","",""
"394","21-R-0132","2024","","","","","618","10","","","",""
"398","21-R-0140","2024","","","","","","","","6","",""
"399","21-R-0141","2024","6","","","","","","","","",""
"400","21-R-0124","2024","","","","","","","","","",""
"401","21-R-0128","2024","","","","","","","","","",""
"403","21-R-0170","2024","","","","","","","","","",""
"413","21-R-0179","2024","","","","","","","","","",""
"418","21-R-0260","2024","","","","","","","","","",""
"423","34-R-0142","2024","","","","","2","","","","",""
"424","34-R-0121","2024","","","","","","","","","",""
"431","10-F-0008","2024","","","","","","","","","",""
"432","51-F-0001","2024","","","","","4","86","2","172","",""
"435","21-R-0078","2024","","","","","","","","","",""
"436","51-F-0005","2024","","","","","","","4","","",""
"437","51-F-0006","2024","","","237","","","49","","167","",""
"438","51-F-0008","2024","","","","","","","","","",""
"439","10-F-0002","2024","","","28","106","123","193","3","73","",""
"441","51-F-0016","2024","27","","1037","1811","300","2354","","113","",""
"442","31-F-0002","2024","","","","","","","","","",""
"445","21-R-0082","2024","","","77","116","34","161","2","169","",""
"446","14-F-0002","2024","","","","","","","","","",""
"448","21-R-0084","2024","","","","","","25","","","",""
"451","31-F-0003","2024","","","","","","","","","",""
"452","51-F-0019","2024","22","","163","","9","","","","",""
"454","16-V-0002","2024","","","","","","","","","",""
"458","21-R-0089","2024","16","8","","","9","","","","",""
"465","21-R-0092","2024","","","","176","129","","","2","",""
"472","23-R-0043","2024","","","","","7","","","","",""
"482","52-R-0013","2024","","","","","","","","","",""
"483","21-R-0255","2024","49","31","","","","","","","",""
"492","52-R-0012","2024","25","","131","22","","","","183","143",""
"493","52-R-0124","2024","","","6","","191","","","20","",""
"494","52-R-0009","2024","","","","","9","","","","",""
"495","52-R-0011","2024","","","","61","97","","","187","",""
"496","52-R-0001","2024","10","21","2","","2","","","","8",""
"497","52-R-0003","2024","","","","","18","28","","","",""
"498","52-R-0004","2024","","","","4","","","","","",""
