Customer Number,Certificate Number,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals
"1143","93-R-0189","2024","","","1826","9","1655","","","","",""
"1146","93-R-0163","2024","","","","","","","","","",""
"1149","93-R-0136","2024","3","6","","","","","","","6",""
"1150","93-R-0131","2024","","","","","","","","","",""
"1153","93-R-0124","2024","56","45","","","6","","","","5",""
"1155","93-R-0121","2024","","","495","","225","","150","74","",""
"1156","93-R-0151","2024","","","","","","","","","",""
"1157","93-R-0117","2024","35","34","","","","","89","22","52",""
"1165","93-R-0080","2024","10","5","6","","6","","","","",""
"1167","93-R-0074","2024","","","","","","","","","185",""
"1169","93-R-0066","2024","","","","","3","64","","","",""
"1172","93-R-0053","2024","44","23","","","2","","41","","72",""
"1179","93-R-0032","2024","8","","","","68","","","133","",""
"1181","93-R-0028","2024","","","","","7","2","","","",""
"1182","93-R-0026","2024","12","","64","18","80","21","","","",""
"1183","93-R-0003","2024","","","","","","","14","182","",""
"1185","93-R-0020","2024","4","","","5","72","","","52","",""
"1186","93-R-0006","2024","","","","","","","143","","",""
"1187","93-R-0007","2024","","","","","","","","","",""
"1189","93-R-0016","2024","","","","","224","","21","56","",""
"1190","93-R-0004","2024","","","22","142","81","62","6","214","",""
"1191","93-R-0011","2024","","","","","","","","","",""
"1192","93-R-0015","2024","","","","","29","","","","",""
"1195","84-R-0003","2024","66","140","388","937","263","","730","1","291",""
"1199","93-F-0005","2024","","","","","","","","","",""
"1200","93-F-0006","2024","","","","","","","","","",""
"1202","93-F-0008","2024","","","","","","","","27","",""
"1204","93-F-0022","2024","","","","","","","","3","",""
"1205","95-F-0001","2024","","","","","","","","54","",""
"1206","85-F-0002","2024","","","","","","","","","",""
"1207","91-F-0001","2024","","","","","","","","","",""
"1209","84-F-0001","2024","45","","","","15","","","43","",""
"1212","91-F-0002","2024","","","","","","","","104","",""
"1214","84-F-0009","2024","","","","","","","","","",""
"1245","93-F-0018","2024","","","","","","","","","",""
"1262","92-F-0004","2024","","","","","","","","","",""
"1268","91-R-0059","2024","","","","","43","","","6","",""
"1273","84-R-0051","2024","","","","","","","","","",""
"1288","93-R-0382","2024","","","","","6","","","","",""
"1314","82-V-0001","2024","","","","48","","","","","",""
"1315","84-V-0002","2024","","","","","","","","","",""
"1316","85-V-0001","2024","","","","","","","","","",""
"1320","91-V-0001","2024","","","","","9","","","","",""
"1321","92-V-0001","2024","","","","","","","","","",""
"1322","93-V-0003","2024","","","","","60","","","","",""
"1323","93-V-0004","2024","","","","","6","","","","",""
"1324","93-V-0005","2024","","","","","","","","","",""
"1325","93-V-0006","2024","","","","","","","","","",""
"1326","93-V-0007","2024","","","","","","","","","",""
"1327","93-V-0008","2024","","","1","","","","","","",""
"1328","93-V-0009","2024","","","","","","","","","",""
"1350","74-V-0011","2024","","","","","","","","","",""
"1365","72-V-0003","2024","","","","","","","","","",""
"1367","73-V-0001","2024","","","","","","","","","",""
"1369","74-F-0006","2024","","","","","","","","6","",""
"1371","74-V-0008","2024","","","","","19","","","","",""
"1372","74-V-0009","2024","","","","","","","","","",""
"1373","43-V-0001","2024","","","","","62","","","","",""
"1374","43-V-0002","2024","","","","","","","","","",""
"1377","71-V-0001","2024","","","","","","","","","",""
"1381","43-R-0102","2024","","","","","9","","","","",""
"1385","72-F-0004","2024","","","","","","","","","",""
"1386","74-F-0003","2024","","","","","","","","664","",""
"1389","73-R-0016","2024","88","36","","","3","","7","9","267",""
"1390","48-R-0035","2024","","","","","","","","","",""
"1391","72-R-0013","2024","","","","","3","","","","",""
"1392","74-R-0105","2024","27","8","","","4","","","","16",""
"1393","72-R-0009","2024","","","","","","","","","",""
"1396","72-R-0008","2024","12","4","","","4","","","1","13",""
"1399","43-R-0009","2024","","","144","64","40","16","","22","",""
"1409","71-R-0110","2024","6","4","1","","","","","","3",""
"1411","74-R-0039","2024","","","","24","10","","","","",""
"1412","74-R-0018","2024","","","","","24","5","","105","",""
"1414","74-R-0044","2024","","","","","1503","","16","","781",""
"1415","43-R-0014","2024","487","187","1927","10723","1805","","","","",""
"1420","48-R-0039","2024","467","465","","","","","","","",""
"1424","48-R-0025","2024","20","11","6","","11","","6","","",""
"1425","43-R-0031","2024","32","24","","","","","","","",""
"1427","74-R-0054","2024","","","","","6","","","","80",""
"1429","74-F-0002","2024","42","8","","","","","","","1124",""
"1431","71-F-0002","2024","","","35","","24","","","8","",""
"1432","74-F-0010","2024","","","","","","","","141","12",""
"1433","74-F-0001","2024","","","","","44","14","","23","13",""
"1437","48-R-0015","2024","","","","","","","","","",""
"1444","43-R-0008","2024","84","16","","554","","95","2","180","",""
"1445","43-R-0054","2024","320","354","","","","","","","",""
"1446","48-R-0014","2024","","","","4","","","","","",""
"1447","72-R-0011","2024","","","","","","","","","",""
"1448","74-R-0035","2024","","50","","","","","","","",""
"1449","74-R-0033","2024","","","","","","","","","",""
"1450","73-R-0100","2024","","","","","","","","","",""
"1451","72-R-0007","2024","","","","","","2010","","","",""
"1452","74-R-0075","2024","","","","","","","","","",""
"1453","74-R-0029","2024","","","","66","77","51","","","",""
"1454","74-R-0068","2024","","","","","16","4","19","34","",""
"1455","74-R-0071","2024","","","3","30","5","186","","118","",""
"1457","71-R-0011","2024","","","","","","","","","",""
"1458","74-R-0020","2024","","","","","15","67","","","",""
"1459","48-R-0002","2024","","","","","21","","","","",""
"1460","48-R-0003","2024","","","","","3","7","","4","",""
