Customer Number,Certificate Number,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals
"38530","96-R-0006","2024","","","","","","","","","",""
"38803","41-R-0076","2024","","","","","","","","141","",""
"39091","63-R-0120","2024","129","87","","","","","","6","",""
"39103","22-R-0140","2024","9","40","","","3","","","","",""
"39367","43-R-0119","2024","147","173","","","","","","","",""
"39569","74-R-0189","2024","22","6","","","","","","","",""
"39789","42-R-0051","2024","","","25","","","","","","",""
"39947","11-R-0027","2024","","","","","34","","","","",""
"40337","52-R-0119","2024","","","","33","2","","","","",""
"40853","58-R-0153","2024","","","","","","","","223","",""
"40933","14-R-0200","2024","","","","","","","","132","",""
"41479","71-R-0111","2024","","","","","","","","497","168",""
"41906","16-R-0049","2024","12","","","","","","","18","",""
"41952","21-R-0244","2024","","","","","","","","","",""
"42194","74-R-0226","2024","11","","","","","","","47","",""
"42217","42-R-0042","2024","28","89","","","8","","","138","150",""
"42492","21-R-0249","2024","","","","","93","","242","","152",""
"42842","42-R-0044","2024","","","","","","","","450","",""
"43010","63-R-0126","2024","","","","","","","","","",""
"43300","51-R-0096","2024","","","","","","","","","",""
"43416","51-F-0030","2024","","","","","","","","","",""
"43420","93-R-0520","2024","","","","","","","","602","",""
"44516","22-R-0143","2024","","","10329","136","2446","","","","",""
"44874","91-R-0082","2024","","","8","","","","","","",""
"44975","41-R-0078","2024","","","","","","","","","",""
"45331","43-R-0122","2024","968","","","","108","148","","1090","",""
"45412","91-R-0066","2024","","","","","187","","","19","",""
"321004","74-R-0216","2024","","","","95","","","","","",""
"321005","74-R-0199","2024","","","","","6","","","81","",""
"321189","22-R-0144","2024","884","418","1868","4745","1137","","","","",""
"321451","93-R-0528","2024","","","","","","","","","",""
"321491","93-R-0527","2024","51","","","","","","21","9","",""
"321496","54-R-0008","2024","59","50","1","","5","","","","",""
"321877","33-R-0143","2024","269","","","","762","","","32","",""
"322034","16-R-0051","2024","","","","","","","","","",""
"322137","93-R-0532","2024","7","","","","1","128","","","",""
"322245","58-R-0142","2024","60","10","","","","","","","10",""
"322496","63-R-0122","2024","","","","","","","","607","",""
"322590","93-R-0533","2024","","","","","","","","","2949",""
"322605","21-R-0220","2024","","","","","","","","","",""
"322827","10-F-0011","2024","","","","","","","","","",""
"323069","88-R-0006","2024","20","","","","","","","","",""
"323070","88-R-0005","2024","","","4","","7","","","42","",""
"323116","84-R-0080","2024","129","30","","","","","","","",""
"323480","42-R-0048","2024","91","76","","","4","","","","",""
"323964","35-R-0127","2024","43","148","","","","","","","",""
"324116","93-R-0536","2024","2","","","","","","","","",""
"324274","58-R-0148","2024","47","32","","","6","","","1","67",""
"324796","51-R-0091","2024","","","","","","","","","",""
"324946","93-R-0572","2024","","","","","","","","","",""
"325208","58-R-0146","2024","","","","","","","","","",""
"325361","94-R-0114","2024","","","","","","","","","",""
"325489","74-R-0206","2024","","","","","","","8","","296",""
"325904","21-R-0223","2024","","","","","","11","","","",""
"326029","43-R-0127","2024","146","","","","","","","","",""
"326220","51-F-0031","2024","","","170","","","","","","",""
"326234","74-R-0204","2024","","","","","","","","","",""
"326381","41-R-0085","2024","","","","","","","","","",""
"326446","21-R-0225","2024","","","","","","","","","",""
"326621","82-R-0014","2024","","","","","","","","","",""
"326713","84-R-0086","2024","","","","","","1","","","",""
"326903","74-R-0218","2024","","","","","","","","129","",""
"327559","74-R-0210","2024","14","","","","","","","5","1",""
"327605","42-R-0049","2024","21","63","","","6","","","","",""
"327689","15-R-0022","2024","14","6","","","","","","","",""
"327788","55-R-0142","2024","26","","","","1327","","","310","",""
"328004","52-R-0128","2024","","","","","","","","49","",""
"328291","92-R-0039","2024","","","","","","","","","",""
"328400","22-R-0148","2024","","","","","","","","","",""
"328461","41-R-0083","2024","","","","","","","","","",""
"328622","58-R-0156","2024","","","","","","","","","",""
"328983","33-R-0152","2024","607","","","","826","388","","4","",""
"329030","72-R-0105","2024","","","","","","","","","",""
"329051","93-R-0552","2024","22","24","","","5","","1","","1",""
"329220","86-R-0042","2024","464","304","9","6","35","","","","12",""
"329240","63-R-0123","2024","","","","","38","","","8","",""
"329347","74-R-0212","2024","","","","","","","","","",""
"329373","46-R-0011","2024","","","","","3","","","","",""
"329595","61-R-0111","2024","","","","","3","","","","2",""
"329834","35-R-0130","2024","","2","2","","2","","","","",""
"329851","63-R-0124","2024","","","","","10","","","","",""
"330020","52-R-0130","2024","","","","","","","","","",""
"330136","21-R-0230","2024","10","4","1","","1","","","","",""
"330146","50-R-0015","2024","","","","","5940","","17","","894",""
"330337","93-R-0601","2024","","","","","","","","","",""
"330557","23-R-0179","2024","","","","","","","","","",""
"330562","14-R-0208","2024","","","","","","","","","14",""
"330987","93-R-0557","2024","","","","","","","","","",""
"331127","84-R-0087","2024","47","24","","","1","","","","16",""
"331267","93-R-0560","2024","11","","","","","","","128","",""
"331288","93-R-0563","2024","","","","","","","","37","",""
"331434","21-R-0233","2024","","","","","80","","","","",""
"331571","74-R-0227","2024","51","41","","","","","","","7",""
"331626","46-R-0012","2024","","","","","","","","","75",""
"331699","86-R-0043","2024","105","70","","","","","","","",""
"331725","21-R-0237","2024","","","","","","","","","",""
"331860","21-R-0234","2024","","","","","","","","","",""
"332092","85-R-0027","2024","","","","","","","","","",""
"332105","42-R-0052","2024","","","","","","7","","","",""
"332218","23-R-0180","2024","","","","","","","","24","",""
