est_number,name,lat,lon,type
"M139+P139","CARGILL MEAT SOLUTIONS CORPORATION",37.6685,-100.9593,"Slaughterhouse"
"M244+P244","TYSON FRESH MEATS, INC.",42.0435,-96.3860,"Slaughterhouse"
"M1770+P1770","SWIFT PORK COMPANY",40.8540,-90.3547,"Pork Processor"
"M86R+P86R","JBS USA, LLC",40.3879,-104.7001,"Slaughterhouse"
