Customer Number,Certificate Number,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals
"332284","93-R-0565","2024","","","84","","36","","","","",""
"332398","11-R-0031","2024","","","","","","","","","",""
"332788","54-R-0009","2024","38","31","","","1","","","","",""
"332789","41-R-0086","2024","","","","","","","","190","",""
"332834","32-R-0053","2024","502","203","274","5344","636","","","","",""
"332923","51-R-0100","2024","","","","","","","","","",""
"333052","93-R-0567","2024","7","","","","","","8","","",""
"333278","21-R-0239","2024","","","","4","","","","","",""
"333447","93-R-0568","2024","4","","","","","","","14","",""
"333459","23-R-0183","2024","","","","","","","","","",""
"333514","14-R-0211","2024","","","","","","121","","","",""
"333883","21-F-0002","2024","","","","","12","","18","103","34",""
"334023","57-G-0001","2024","","","","","","","","","",""
"334026","71-G-0001","2024","","","","","","","","","",""
"334027","65-G-0001","2024","","","","","","","","","",""
"334028","73-G-0001","2024","","","","","","","","","196",""
"334046","10-F-0012","2024","","","","","","","","","",""
"334102","74-G-0001","2024","","","","","","","","40","212",""
"334103","47-G-0001","2024","","","","","","","7528","3709","17102",""
"334104","81-G-0001","2024","","","","","","","","","1247",""
"334105","45-G-0001","2024","","","","","","","","","89",""
"334116","82-G-0001","2024","","","","","","","1462","","",""
"334128","74-R-0221","2024","","","","","","","24","","",""
"334152","64-G-0001","2024","","","","","","","","","",""
"334154","83-G-0001","2024","","","","","","","","","2173",""
"334156","45-G-0004","2024","","","","","","","","","",""
"334160","54-G-0001","2024","","","","","","","","","",""
"334161","34-G-0001","2024","","","","","","","","","",""
"334233","55-R-0148","2024","59","","","","4","","","471","8",""
"334239","57-R-0128","2024","137","71","","","2","","","","",""
"334240","31-R-0132","2024","154","162","","","","","","","",""
"334299","74-G-0003","2024","","","","","","","","","",""
"334300","71-G-0002","2024","","","","","","","328","","",""
"334302","45-G-0003","2024","","","","","","","","","",""
"334304","51-G-0001","2024","","","","","","","","","143",""
"334305","42-G-0001","2024","","","","214","","","167","569","406",""
"334306","73-G-0002","2024","","","","","","","","","190",""
"334307","11-G-0001","2024","","","","","","","","","",""
"334309","93-G-0002","2024","","","","","","","","","",""
"334369","63-R-0128","2024","","","","","","","","","3",""
"334416","91-R-0073","2024","","","","","","","","","",""
"334457","32-G-0001","2024","","","","","","","","198","32",""
"334470","35-G-0001","2024","","","","","","","","","867",""
"334624","21-R-0243","2024","","","","","","","25","","",""
"334730","14-R-0212","2024","9","6","","","","","","","",""
"334734","22-R-0155","2024","1365","506","4434","13461","2961","","4","","121",""
"334886","65-G-0002","2024","","","","","","","","","",""
"335071","93-R-0574","2024","","","","","","","","","",""
"335142","74-R-0220","2024","","","","","13","","","7","",""
"335389","63-R-0129","2024","83","","18","","1","78","20","76","",""
"335443","91-G-0001","2024","","","","","","","60","","139",""
"335444","85-G-0001","2024","","","","","","","","","78",""
"335445","87-G-0001","2024","","","","","","","120","","41",""
"335594","93-R-0594","2024","","","","","","204","","","",""
"335601","41-R-0088","2024","","","","","","","","1306","",""
"335654","23-R-0184","2024","","","21","","103","","","","48",""
"335743","48-R-0117","2024","34","13","","","","","","","",""
"335790","21-G-0001","2024","","","","","","","","","",""
"335791","21-G-0002","2024","","","","","","","24","250","51",""
"335792","61-G-0001","2024","","","","","","","","","125",""
"335793","74-G-0004","2024","","","","","","","","163","",""
"335794","74-G-0005","2024","","","","","","","","","8",""
"335795","42-G-0002","2024","","","","","","","","160","",""
"335798","33-R-0158","2024","","","213","","","","","38","",""
"500501","71-G-0003","2024","","","","","","","","","",""
"500524","52-R-0134","2024","","","","","","","","323","80",""
"500809","84-R-0092","2024","","","","","","","","","",""
"501397","73-R-0120","2024","","","790","","","","","","",""
"501700","58-R-0162","2024","","","","","","","","","",""
"501751","31-R-0133","2024","","","","","","","","","",""
"501995","21-R-0245","2024","","","917","","180","","","","",""
"502015","14-R-0213","2024","","","","590","","","","","",""
"502100","94-R-0115","2024","316","60","","","134","","","","",""
"502147","74-R-0246","2024","","5","","","","","","","",""
"502326","57-R-0129","2024","","","","","","","","","",""
"502460","73-R-0121","2024","56","58","","","394","","576","","1845",""
"502497","41-R-0089","2024","","","","","","","","","",""
"502594","41-R-0092","2024","","","","","","","","","",""
"502753","33-R-0160","2024","34","34","","","6","","","","29",""
"502816","34-R-0167","2024","","","","","396","","","","",""
"502843","93-R-0582","2024","","","","","6","","","","1",""
"502924","31-R-0134","2024","","","","","59","","","","",""
"503099","32-R-0055","2024","","","","","","","","14","",""
"503238","14-R-0214","2024","","","","","","","","","",""
"503339","94-R-0116","2024","117","78","","","1","","13","","29",""
"503416","55-R-0152","2024","","","","","4","","","","",""
"503489","14-R-0215","2024","","","","14","","","","","",""
"503605","92-R-0041","2024","","","","","5","","24","10","51",""
"503724","43-R-0130","2024","","","","","","","","","",""
"503851","93-R-0580","2024","","","","","1150","","","","",""
"504696","74-R-0229","2024","","","","","","","","","",""
"504697","47-R-0036","2024","181","","","","","","","","",""
"505154","33-R-0164","2024","6","","","","","","","11","",""
"505169","91-R-0075","2024","266","","","","","2700","","","",""
"505339","14-G-0002","2024","","","","","","","","","",""
"505364","58-R-0164","2024","","","","","","17","","","",""
"505506","22-R-0158","2024","","","","","","","","","",""
"505559","32-R-0056","2024","","","","","5","","","12","",""
"505775","96-R-0007","2024","","","","","","","","","",""
"505884","73-R-0123","2024","","","","","70","","","","",""
