Customer Number,Certificate Number,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals
"2","87-R-0002","2024","","","83","1440","","","230","22","88",""
"3","87-R-0003","2024","","","","","","","","","",""
"5","87-R-0008","2024","","","","","","","","","",""
"12","87-R-0001","2024","43","8","151","","290","27","151","101","",""
"15","96-R-0001","2024","","","","","","","","","23",""
"16","83-R-0001","2024","","","","","","","","30","",""
"17","83-R-0004","2024","79","102","3","2","14","","","","64",""
"18","95-R-0003","2024","","","","","","","","","",""
"19","95-R-0002","2024","118","69","12","","5","","82","","230",""
"39","16-R-0017","2024","","","","","","","","","",""
"44","16-R-0025","2024","","","","","136","","","","",""
"45","50-R-0006","2024","","","","","","","","","",""
"46","16-R-0060","2024","","","","","","","","","",""
"47","50-R-0009","2024","","","","","","","","45","",""
"48","16-R-0001","2024","12","","69","432","20","101","2","92","",""
"50","16-R-0057","2024","","","","","","","","57","",""
"51","16-R-0007","2024","","","","","","","","53","",""
"52","16-R-0008","2024","","","36","","71","","","","25",""
"55","16-R-0029","2024","44","","","","10","67","","","",""
"56","16-R-0031","2024","","","","","","","","","",""
"59","10-R-0011","2024","","","15","","","","","73","",""
"61","16-R-0039","2024","","","3","","2","","","","",""
"66","10-R-0001","2024","","","","","56","","","88","",""
"68","11-R-0012","2024","","","","","25","","","","14",""
"69","10-R-0004","2024","","","","46","","14","","","",""
"70","10-R-0005","2024","8","","8","198","12","","","","",""
"71","11-R-0002","2024","","","","","","","","","",""
"75","11-R-0006","2024","","","","","5","","","","",""
"81","51-R-0006","2024","49","310","390","179","485","96","6","533","",""
"86","51-R-0099","2024","","","","","","","","","",""
"89","51-R-0018","2024","","","15","","420","114","","53","",""
"90","51-R-0020","2024","43","13","","","","","","","",""
"91","51-R-0095","2024","","","6","","","","","14","",""
"93","51-R-0036","2024","","","","610","36","2506","","","",""
"100","14-R-0003","2024","","","","","","","","","",""
"101","14-R-0004","2024","","","","","53","","","20","",""
"106","14-R-0010","2024","","","","","86","","","","",""
"107","14-R-0019","2024","","","","","","50","","","",""
"108","14-R-0014","2024","2","","10","","105","283","4","240","4",""
"109","34-R-0001","2024","","","50","156","825","6","73","248","",""
"110","14-R-0016","2024","","","","","","","","","",""
"111","34-R-0151","2024","36","","","","","","","","",""
"112","14-R-0017","2024","","","32","250","6","250","","","",""
"114","14-R-0018","2024","","","","398","26","299","","36","",""
"116","34-R-0009","2024","","","","","","","","2","",""
"117","14-R-0020","2024","","","","","22","","52","65","",""
"118","14-R-0021","2024","","","","24","","","","","",""
"119","14-R-0022","2024","","","39","","5","","","","",""
"120","34-R-0014","2024","6","","","","368","","","29","",""
"121","14-R-0025","2024","16","3","4","","3","","","","",""
"125","14-R-0029","2024","","","","","","","","","",""
"126","14-R-0030","2024","","","","","","","","","",""
"129","34-R-0017","2024","175","39","24","","11","","200","20","520",""
"130","14-R-0035","2024","2","","112","1485","50","1","60","70","",""
"131","14-R-0186","2024","","","","","","","","","",""
"136","14-R-0061","2024","","","","","","","","","",""
"137","14-R-0218","2024","","","","","","","","15","",""
"139","14-R-0081","2024","","","","","","","","","",""
"140","14-R-0082","2024","","","","","","","","","",""
"141","14-R-0084","2024","","","","","","","","","",""
"143","14-R-0119","2024","","","","","","","","","",""
"144","14-R-0092","2024","","","","","6","","2","25","",""
"145","14-R-0094","2024","","","","","","","","","",""
"146","14-R-0096","2024","","","","","","74","","","",""
"147","14-R-0101","2024","76","","5873","66","2475","","2","","",""
"148","14-R-0196","2024","","","","","","","","27","",""
"151","14-R-0177","2024","","","","","","","","","",""
"156","14-R-0128","2024","213","","","546","","","","","",""
"166","12-R-0001","2024","12","","","","18","","","16","",""
"167","12-R-0003","2024","","","","","","","","","139",""
"168","22-R-0028","2024","186","","","5","102","535","","2","",""
"173","22-R-0041","2024","","","2168","","129","","18","119","",""
"176","22-R-0022","2024","","","3","","","39","","","",""
"177","22-R-0025","2024","","","2","7","80","6","","5","",""
"195","34-R-0018","2024","","","","","","","","","",""
"197","34-R-0027","2024","","","11997","","","","","","",""
"199","34-R-0035","2024","","","1","","","","","","",""
"200","34-R-0037","2024","","","","","","","","1","",""
"201","34-R-0038","2024","","","","","","","","","",""
"202","34-R-0044","2024","","","","","","","","","",""
"210","31-R-0011","2024","","","607","","22","","8","35","",""
"212","23-R-0003","2024","","","40","","75","","","","",""
"215","34-R-0060","2024","96","45","","","4","","","","",""
"216","31-R-0014","2024","25","","6","327","21","2","5","566","235",""
"223","31-R-0017","2024","","","","","41","5","","70","",""
"224","31-R-0030","2024","84","97","","","","","","","",""
"228","31-R-0021","2024","","","1245","","308","494","","82","",""
"230","31-R-0130","2024","","","","","","","","46","",""
"233","31-R-0027","2024","7","","","","24","","","83","",""
"234","31-R-0028","2024","2","","","9","100","","","139","",""
"235","31-R-0029","2024","","","","","","","","","",""
"238","31-R-0034","2024","28","","","","","","","237","8",""
"243","31-R-0055","2024","","","115","","","","","7","",""
"247","31-R-0100","2024","","36","","","","","","","",""
"248","31-R-0067","2024","9","20","","","","","","","",""
"249","31-R-0068","2024","3","","25316","212","6106","","","31","",""
"251","31-R-0082","2024","","","","","7","","","12","",""
"252","31-R-0088","2024","25","28","","","8","","","","",""
"254","31-R-0091","2024","486","","","","","13","","32","",""
"255","31-R-0092","2024","","","10","","4","","","59","",""
