Customer Number,Certificate Number,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals
"1461","43-R-0048","2024","158","12","74","4","183","","6","1063","177",""
"1462","43-R-0047","2024","","","","","","","","","",""
"1464","74-R-0072","2024","2","","22","","15","","","87","",""
"1467","72-R-0002","2024","","8","","","8","773","","15","",""
"1468","73-R-0007","2024","","","","","16","46","","","",""
"1469","74-R-0073","2024","","","524","1846","65","240","99","41","",""
"1470","71-R-0116","2024","","","","","3","","","","",""
"1472","74-R-0066","2024","","","","","","","","","",""
"1473","74-R-0069","2024","","","","83","","","","","",""
"1474","74-R-0070","2024","","","32","","","","","33","",""
"1476","74-R-0065","2024","","","","115","16","2849","","23","",""
"1477","74-R-0078","2024","","","","","84","","","","",""
"1478","74-R-0037","2024","","","","","12","","7","76","4",""
"1480","74-R-0108","2024","84","27","","","","","52","56","226",""
"1481","74-R-0050","2024","","","","","","","","26","",""
"1482","74-R-0040","2024","","","","","","","","","",""
"1484","72-R-0003","2024","332","46","16","","53","16","2","72","254",""
"1485","72-R-0010","2024","","","","","","","","","",""
"1488","43-R-0029","2024","28","27","","","10","","11","10","27",""
"1492","72-R-0019","2024","","","","","","","","","",""
"1494","48-R-0001","2024","88","26","","","","","3","26","45",""
"1497","74-R-0094","2024","13","23","","","","","166","","42",""
"1498","74-R-0233","2024","","","","","","","","","",""
"1499","74-R-0012","2024","94","","85","24","53","","316","479","575",""
"1501","74-R-0046","2024","","","","","","","","","",""
"1502","74-R-0081","2024","","","","","117","","","71","",""
"1503","74-R-0049","2024","40","","504","","426","","","27","",""
"1507","43-R-0011","2024","23","","20","624","32","","","41","",""
"1512","74-R-0003","2024","","","56","490","23","2047","","","",""
"1513","43-R-0052","2024","","","","","","","","","",""
"1514","74-R-0048","2024","","","","","","","","","",""
"1515","74-R-0031","2024","","","","","","","","","",""
"1543","47-R-0002","2024","","","","491","35","","","","",""
"1544","47-R-0022","2024","109","110","2","","6","","20","20","59",""
"1545","47-R-0009","2024","","","","","","","","","",""
"1548","47-R-0017","2024","10","8","4","6","","","15","9","44",""
"1552","47-R-0004","2024","","24","","161","12","","","24","",""
"1553","47-R-0021","2024","","","","","","74","","","",""
"1554","47-V-0001","2024","","","","","","","","12","",""
"1557","45-R-0001","2024","","","","","","","","","",""
"1560","46-R-0001","2024","","","","","","","","","",""
"1561","46-R-0002","2024","7","3","","","2","","54","","54",""
"1565","45-R-0002","2024","74","89","","","4","","25","60","55",""
"1573","42-R-0001","2024","","7","80","2475","187","","","","",""
"1575","42-R-0003","2024","6","","","","","","25","131","114",""
"1576","42-R-0004","2024","","","3","","201","","1","206","",""
"1582","42-R-0026","2024","45","57","4","","3","","","","8",""
"1584","42-V-0002","2024","","","","25","","","","","",""
"1586","42-F-0004","2024","","","254","10","","","278","29","34",""
"1591","43-R-0105","2024","","","","","","","","","",""
"1592","74-R-0146","2024","","","","","","","","45","",""
"1638","55-R-0136","2024","","","","","","","","","",""
"1645","74-R-0157","2024","39","37","","","2","","","","",""
"1653","42-R-0031","2024","","","","","","","","","45",""
"1662","21-R-0256","2024","","","","","","","","","",""
"1663","58-R-0121","2024","","","","","","62","","","",""
"1664","14-R-0138","2024","","","105","","","","21","95","",""
"1666","83-R-0005","2024","","","","","","","","","",""
"1688","23-R-0166","2024","","","","","","","","","",""
"1692","82-R-0008","2024","15","13","","","2","","1","2","26",""
"1693","96-R-0005","2024","","","","","","","","","",""
"1722","91-R-0051","2024","94","79","","","1","","","","",""
"1726","42-F-0008","2024","","","195","251","24","","","","",""
"1738","46-R-0007","2024","","","","","","","","","",""
"1752","74-R-0161","2024","","","","","19","","83","","197",""
"1761","93-R-0398","2024","","","","","117","","","","",""
"1768","93-R-0401","2024","45","","","","","","","1751","",""
"1773","23-R-0153","2024","","","","","4","","","","",""
"1792","14-R-0114","2024","","","","","","","","","",""
"1796","58-R-0126","2024","","","","","","","","","",""
"1799","14-R-0144","2024","9216","76","3926","1127","14182","11450","112","1774","",""
"1811","73-R-0109","2024","24","6","","","4","","","","13",""
"1816","41-R-0060","2024","","","","","","3","","","",""
"1821","74-R-0167","2024","","","","","","","3","","",""
"1832","93-R-0412","2024","","","","","647","","","","",""
"1834","84-R-0059","2024","","","","","117","","58","109","2",""
"1835","84-R-0060","2024","","","","","","","","","",""
"1836","93-R-0413","2024","","","","","","","","","",""
"1839","93-R-0416","2024","","","","","","","","","",""
"1841","93-R-0418","2024","","","","","","","","","",""
"1844","93-R-0421","2024","90","66","","","36","","12","","34",""
"1845","93-R-0422","2024","","","","","","","","","",""
"1846","93-R-0566","2024","","","","","","","","","",""
"1848","93-R-0426","2024","","","","","","","","","",""
"1973","14-R-0221","2024","","","","","","","","","",""
"2072","21-R-0242","2024","","","","","","","","","",""
"2280","54-R-0010","2024","","","","","","","","","",""
"3082","58-R-0131","2024","","","","","","","","","",""
"3099","58-R-0173","2024","","","","","","","","","",""
"3620","93-R-0476","2024","","","","","","","","","",""
"3653","93-R-0602","2024","","","","","","40","","","",""
"3768","93-R-0475","2024","","","","","","","","","",""
"3880","74-R-0219","2024","","","","","","","","","",""
"5404","74-R-0232","2024","","","","","","","","3","",""
"6177","21-R-0212","2024","","","","","","","","","",""
"6989","58-R-0176","2024","","","","","","","","","",""
"7457","63-R-0130","2024","","","","","","","","","",""
"7854","93-R-0158","2024","","","4","","79","","","","13",""
"8207","21-R-0148","2024","","","","","","","","","",""
"8237","93-R-0423","2024","","","","","","","","","",""
