Customer Number,Certificate Number,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals
"8612","91-R-0083","2024","","","","","","","","","",""
"8740","31-R-0040","2024","","","","","","","","","",""
"8817","93-R-0430","2024","","","","","191","","","43","",""
"8977","71-R-0104","2024","","","","","","","","","",""
"9012","23-R-0154","2024","","","","","42","","16","17","",""
"9191","93-R-0432","2024","","","111","","","29","","","",""
"9192","93-R-0433","2024","44","87","17","63","164","1966","369","137","246",""
"9193","93-R-0434","2024","","6","88","401","74","","4","132","",""
"9194","93-R-0435","2024","","","48","24","33","23","1","267","",""
"9195","93-R-0436","2024","","2","","","","","","","",""
"9196","93-R-0437","2024","","","","311","247","22","","339","3",""
"9197","93-R-0438","2024","","","","","","","","","",""
"9198","93-R-0439","2024","","","","","","","","","",""
"9199","93-R-0440","2024","","","","116","148","2","45","53","",""
"9423","31-R-0114","2024","65","","47","","","","16","29","",""
"9446","14-R-0148","2024","","","","","6","","14","130","",""
"9738","58-R-0128","2024","","","","","","55","","","",""
"9971","33-R-0126","2024","110","104","10","","29","","52","23","20",""
"10055","56-R-0110","2024","","","60","","","","4","","",""
"10115","31-R-0113","2024","132","104","","","6","","","","31",""
"10138","93-R-0444","2024","569","","2","12","1240","","36","480","5",""
"10214","73-R-0112","2024","63","10","","","3","","","","21",""
"10701","35-R-0140","2024","","","","","","","","","",""
"10866","21-R-0196","2024","","","","","","20","","","",""
"11697","22-R-0146","2024","","","","83","18","","","","",""
"12776","51-F-0024","2024","","","146","185","56","147","16","","",""
"12782","51-F-0026","2024","","","","","","","","","1",""
"12784","51-F-0029","2024","","","","","","","","","",""
"13006","88-R-0003","2024","776","156","","","","","10","8","151",""
"13171","35-R-0116","2024","","","","","","","","","",""
"13318","43-R-0117","2024","","","","","","","","","",""
"13428","51-R-0092","2024","","","","","116","","21","63","",""
"13477","34-R-0149","2024","","","","","","","","","",""
"14167","14-R-0157","2024","","","","","1022","","","","",""
"14297","74-R-0230","2024","","","","","65","","","","",""
"14439","48-R-0107","2024","","","2","","","","","","",""
"14681","13-R-0011","2024","","","","","","","911","","",""
"15053","86-R-0033","2024","","","","","","","","","",""
"15097","91-R-0054","2024","","","","","","","2","","28",""
"15322","93-R-0464","2024","","","","20","","","","18","",""
"15690","41-R-0061","2024","","","12747","","1838","","","","",""
"15933","58-R-0165","2024","","","8","","","","","","",""
"16855","85-F-0003","2024","","","","","","","","","",""
"16889","51-R-0086","2024","","","","","","","","","",""
"17184","63-R-0116","2024","4","","","","","","","","",""
"17782","32-R-0041","2024","","","","","","","","","",""
"18033","57-R-0127","2024","38","34","","","5","","","","",""
"18136","74-R-0177","2024","13","7","","","3","","","","19",""
"18374","21-R-0228","2024","14","43","","","","","","","",""
"18462","84-R-0065","2024","","","","","","","","","",""
"18820","93-R-0479","2024","","","","","","371","","","",""
"18920","31-R-0116","2024","","","","","161","","133","189","",""
"19782","41-R-0063","2024","","","36","","","","","","",""
"20133","10-F-0010","2024","","7","","","","1","","","",""
"20222","71-R-0112","2024","","","","","","","","","",""
"21308","87-R-0022","2024","51","","","","293","","9","121","9",""
"21373","14-R-0164","2024","","","299","","72","","","","",""
"22308","93-R-0571","2024","","","","","","","","","",""
"23329","91-R-0080","2024","","","38","","","","","","",""
"23918","14-R-0192","2024","","","","","170","965","","10","",""
"24236","33-R-0132","2024","10","10","","","","","","","",""
"25376","21-R-0208","2024","","","","","","","","","",""
"25517","71-R-0107","2024","212","21","","","370","","","","",""
"25886","63-R-0127","2024","77","104","","","","","","","",""
"26617","14-R-0168","2024","","","","94","","","","","",""
"26622","58-R-0136","2024","","","","","","","","16","",""
"27962","93-R-0492","2024","","","","","","","","","",""
"28223","74-R-0213","2024","","","","","","","","","",""
"28373","55-R-0125","2024","","","","","","","","","",""
"28833","42-R-0053","2024","","","","","","","","","",""
"29771","41-R-0071","2024","","","","","","","16","","245",""
"30222","34-R-0153","2024","","","","","","","","","",""
"30224","14-R-0194","2024","","","","","","","","","",""
"30615","52-R-0113","2024","","","","","","","","334","",""
"30932","14-R-0203","2024","","","","","","","","417","",""
"30958","21-R-0210","2024","8","","","","","","86","204","3",""
"31006","23-R-0162","2024","","","","","","","","","18",""
"31083","11-R-0033","2024","","","","","","","","","",""
"31678","52-R-0114","2024","","","","","","","","407","",""
"32992","57-R-0131","2024","","","","","","","","","",""
"33144","15-R-0021","2024","","","","232","","","","","",""
"33183","22-R-0138","2024","","","","","12","","","98","",""
"33184","21-R-0211","2024","","","10","17","","","","","",""
"33200","42-R-0040","2024","18","16","","","2","","","","",""
"33766","51-R-0082","2024","","","211","175","238","","","","",""
"34465","55-R-0127","2024","","","1862","","5475","","","","",""
"34579","41-R-0074","2024","310","","5888","","1704","","487","1297","",""
"34658","21-R-0254","2024","","","","","","","","","",""
"34846","86-R-0036","2024","9","11","","","","","","","",""
"35029","48-R-0109","2024","","","746","","","","","","",""
"35685","93-R-0504","2024","","","","80","","","","","",""
"36534","31-R-0121","2024","","","","","","","","","",""
"37111","74-R-0185","2024","","","","","14","","","","",""
"37207","63-R-0119","2024","","","","","26","","","","",""
"37219","31-R-0122","2024","87","118","1","","2","","","","4",""
"37323","33-R-0137","2024","","","","","","","","","",""
"37482","43-R-0118","2024","10","10","","","9","","17","1","",""
"37673","57-R-0121","2024","","","","","","","","","",""
"38092","71-R-0115","2024","","","","","","","","","5",""
"38366","57-R-0122","2024","","","","","","","13","25","4",""
