Customer Number,Certificate Number,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals
"505981","22-R-0159","2024","","","","","","","","22","",""
"506106","41-R-0091","2024","","","","","","","","188","",""
"506165","74-R-0231","2024","","","","","","","","","",""
"506442","21-R-0248","2024","769","851","","","","","","","",""
"506554","32-R-0058","2024","","","","2207","","","","","",""
"506556","23-R-0187","2024","","","","","100","95","","","",""
"506631","51-R-0103","2024","","","","","614","","","","",""
"506806","21-R-0250","2024","","","","","","706","","","",""
"507018","31-R-0135","2024","","","1","","","","","","",""
"507019","87-R-0028","2024","","","","","1","","","","",""
"507281","55-R-0154","2024","34","16","","","","","","","",""
"507300","34-R-0168","2024","","","","","18","717","","84","",""
"507737","84-R-0091","2024","338","","","","73","","72","113","",""
"507892","48-R-0118","2024","390","","","166","9","","","36","",""
"507904","93-R-0586","2024","","","","","","17","90","8","",""
"507906","33-R-0162","2024","192","127","","","3","","","","",""
"508033","58-R-0166","2024","","","6","","","","","","",""
"508088","57-R-0130","2024","","","","","605","","","","",""
"508132","91-R-0078","2024","","","","","","","","","3",""
"508247","35-R-0136","2024","","","","","","","","501","",""
"508341","14-R-0219","2024","","","","","","","","","",""
"508388","74-R-0234","2024","","","","","1240","","","7","",""
"508507","35-R-0137","2024","","","","","","","","","",""
"508596","84-R-0093","2024","37","","","","25","","","79","",""
"508658","32-R-0060","2024","121","67","","","","","","","",""
"508671","52-R-0137","2024","","","","","","","","","",""
"600227","46-R-0014","2024","97","116","","","3","","","","",""
"600326","55-R-0155","2024","","","","","","","","5","12",""
"600403","67-R-0001","2024","","","","","","","","26","",""
"600625","91-R-0079","2024","","","","","","","","","",""
"600704","21-R-0253","2024","","","","","","","","","",""
"601170","88-R-0010","2024","","","","","","","","19","",""
"601690","67-R-0003","2024","","","","","","","","182","",""
"601693","58-R-0171","2024","","","","","","","","","",""
"601718","93-R-0603","2024","39","","","","","","","97","",""
"6002826","93-R-0592","2024","","","","","174","","","","",""
"6002907","65-R-0508","2024","","72","","","","","","","",""
"6002932","12-R-0009","2024","","","","","","","","","",""
"6002961","93-R-0593","2024","236","142","","","","","","","",""
"6003077","48-G-0003","2024","","","","","","","","35","",""
"6003435","84-R-0094","2024","","","","","","","","","",""
"6003805","35-R-0139","2024","","","","","","","","","131",""
"6003985","31-R-0136","2024","171","","68","","199","461","","205","",""
"6010169","81-R-0020","2024","","","","","","","","","",""
"6010250","74-R-0240","2024","","","","","121","","","","",""
"6010336","58-R-0168","2024","","","","","","","","","",""
"6010774","74-R-0241","2024","","","","","","","","","",""
"6011005","51-R-0105","2024","","","","","66","46","","","",""
"6011355","93-R-0597","2024","","","","","","","","6","",""
"6011899","93-R-0599","2024","","","","","70","6","","","",""
"6011944","47-R-0038","2024","","","","","","","","","",""
"6012423","41-R-0093","2024","3","","","","65","","89","284","",""
"6012655","91-R-0081","2024","8","","46","176","","","","","",""
"6012819","43-G-0001","2024","","","","","","","","","",""
"6012948","58-R-0138","2024","53","45","","","4","","","","",""
"6012953","74-R-0242","2024","","","","","","","","","",""
"6013250","46-R-0015","2024","","","","","85","","","","",""
"6013402","43-R-0132","2024","","","","","","","","","",""
"6013565","23-R-0190","2024","215","181","","","21","","","","",""
"6013605","33-R-0163","2024","71","63","","","13","","","","",""
"6013631","74-R-0243","2024","","","","","","","","","",""
"6014002","35-R-0141","2024","","","","","","","","259","",""
"6014552","74-R-0245","2024","","","","","","","","90","",""
"6014821","93-R-0604","2024","","","152","","105","29","","176","",""
"6015063","43-R-0133","2024","","","","","","","","16","",""
"6015834","55-R-0156","2024","","","","","","","","","",""
"6015932","67-R-0004","2024","","","","","","","","","",""
"6015952","61-R-0115","2024","5","","","","","","","","",""
"6016037","16-R-0056","2024","","","","","","","","","",""
"6016234","84-F-0010","2024","","","","","","","","","",""
"6016961","31-R-0137","2024","","","","","","","","","",""
"6017156","96-R-0008","2024","","","","","","","","","",""
"6017716","74-R-0247","2024","28","","","","","","","","",""
"6018044","21-R-0258","2024","","","","","","","","","",""
"6018158","41-R-0094","2024","","","18","","","","","","",""
"6018778","21-R-0259","2024","","","","","","","","","",""
"6019033","16-R-0058","2024","42","18","","","6","","","","",""
"6019395","21-R-0261","2024","","","","","","","","119","",""
"6019411","93-R-0607","2024","","","","","","","","","",""
"6019454","96-R-0009","2024","78","","","","","","","","",""
"6019766","71-G-0005","2024","","","","","","","","","",""
"6019827","13-R-0015","2024","","","","","","","","","",""
"6020048","46-R-0013","2024","","5","64","","3","","","","",""
"6020062","93-R-0608","2024","","","","8","","","","","",""
"6020096","93-R-0609","2024","","","","","","","","","",""
"6020134","14-R-0222","2024","","","","","32","","131","634","",""
"6020256","58-R-0175","2024","","","","","","","","","",""
"6020810","21-R-0262","2024","","","","","","","","","",""
"6021121","71-R-0120","2024","","","","","","","","","",""
"6021204","41-R-0095","2024","","","","","","","","10","",""
"6021425","23-R-0191","2024","","","302","","","","","","",""
"6021839","93-R-0611","2024","12","","","","1","28","","2","",""
"6021910","41-R-0096","2024","","","","","","","","12","",""
"6022130","71-R-0119","2024","","","","","","","","","",""
"6022374","74-R-0249","2024","","","","","","","","","",""
"6022480","11-R-0035","2024","","","","","","","","","",""
"6022512","42-R-0056","2024","5","2","","","","","","","",""
"6022665","23-R-0192","2024","","","","","","","","","",""
"6022731","41-R-0097","2024","","","","","","","","","",""
"6023042","21-R-0221","2024","18","31","","","8","","","","",""
