Customer Number,Certificate Number,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals
"502","23-R-0049","2024","","","66","","","","","","",""
"503","21-R-0095","2024","","","","","","","","","85",""
"513","51-R-0050","2024","","","","101","","","","","",""
"515","14-R-0036","2024","23","8","","285","2","25","22","","30",""
"522","34-R-0161","2024","","","","","","","","","",""
"528","21-R-0119","2024","198","79","","134","13","","39","41","586",""
"537","21-R-0199","2024","6","1","","","3","","","6","",""
"542","41-R-0006","2024","33","","","48","319","","50","586","",""
"547","41-R-0005","2024","4","3","396","353","50","242","235","474","100",""
"549","23-R-0020","2024","","","","","","","","","",""
"550","41-R-0042","2024","","","5","","","","","","",""
"552","41-R-0022","2024","60","","","","","","17","307","",""
"554","33-V-0004","2024","","","3","","","","","","",""
"556","41-V-0001","2024","","","","","","","","4","",""
"558","41-R-0015","2024","26","","","","267","","158","313","",""
"559","41-R-0003","2024","","","","","","","","","",""
"561","41-R-0008","2024","","","","","","","","18","",""
"565","33-R-0103","2024","123","89","","","","","","","",""
"566","33-R-0104","2024","","","","","","","","","",""
"568","33-R-0150","2024","","","","","40","","","","",""
"571","33-R-0100","2024","8","10","3","","3","","","","",""
"572","33-R-0088","2024","","","","","","","","","",""
"575","33-R-0067","2024","","","","","","","","","",""
"577","33-R-0151","2024","4","","121","1172","33","60","20","42","",""
"580","33-R-0129","2024","47","11","","","31","1","","112","",""
"581","33-R-0022","2024","","","","","79","","","71","",""
"583","33-R-0024","2024","","","85","","6","","","11","",""
"584","33-R-0025","2024","","","","","10","","36","","53",""
"585","33-R-0027","2024","","","","","","","","30","",""
"591","41-R-0082","2024","","","","","","","","148","",""
"593","21-R-0097","2024","","","","","","","","","",""
"596","33-R-0010","2024","","","","","","","","","30",""
"597","33-R-0013","2024","","","","","16","","","30","",""
"598","33-R-0014","2024","62","","","","","","","","",""
"599","33-R-0018","2024","63","","65","3","118","120","12","281","",""
"602","33-R-0003","2024","","","","","","","","","",""
"603","33-R-0029","2024","47","25","10","","74","","94","152","289",""
"608","35-R-0014","2024","","","","","","","","","",""
"611","35-R-0015","2024","","","","","","","","","",""
"612","35-R-0017","2024","","","","","","","","","",""
"614","35-R-0010","2024","","","","","","","","","",""
"616","35-R-0001","2024","","71","10","958","282","1354","22","357","91",""
"617","35-R-0016","2024","84","96","6","6","10","","","","48",""
"628","14-R-0065","2024","11","","9","4","","","171","70","69",""
"631","35-V-0001","2024","","","","","","","","","",""
"633","35-V-0004","2024","","","","","","","","77","",""
"634","35-R-0029","2024","","6","","","88","","43","126","29",""
"636","35-R-0107","2024","","","","","","","","","",""
"639","35-R-0034","2024","","","969","","167","","","","",""
"640","35-R-0030","2024","3518","","305","20","7059","5176","35","580","27",""
"643","35-R-0138","2024","","","","77","","","","","",""
"644","21-V-0006","2024","","","","","","","","","",""
"645","14-F-0010","2024","","","","","","","","","",""
"650","31-V-0005","2024","","","","6","","","","","",""
"652","14-V-0001","2024","","","","","","","","","",""
"655","22-V-0003","2024","","","","","","","","","",""
"658","23-V-0002","2024","","","","","","","","","",""
"662","21-V-0002","2024","","","","","","","","","",""
"663","21-V-0008","2024","","","","","","","","","",""
"665","21-V-0007","2024","","","","","67","","","","",""
"668","31-V-0004","2024","","","","","","","","","",""
"678","23-V-0003","2024","","","","","8","","","","",""
"679","15-V-0001","2024","","","","","","","","","",""
"680","13-V-0001","2024","","","","","","","","","",""
"681","52-V-0003","2024","","","","","6","","","52","",""
"682","54-V-0002","2024","","","","","","","","","",""
"688","23-R-0173","2024","","","","","11","","","","",""
"694","33-R-0008","2024","356","","","","4","50","","18","",""
"701","22-R-0147","2024","","","","","","","","93","",""
"707","33-R-0113","2024","","","","","","","","3","",""
"709","33-V-0002","2024","","","","","","","","","",""
"726","52-F-0004","2024","","","","","","","","65","",""
"728","51-F-0021","2024","","","878","623","76","224","","16","",""
"739","34-V-0002","2024","","","","","","","","10","",""
"742","51-V-0010","2024","","","","","","","","","",""
"745","51-R-0046","2024","","","","","","","53","45","",""
"749","14-R-0156","2024","","","","","931","","4","","315",""
"759","23-R-0067","2024","4","8","","","2","","","","",""
"769","35-R-0004","2024","757","","","","","","","","",""
"776","32-R-0016","2024","","","","25","","","","","",""
"779","32-R-0007","2024","102","3","","","41","","101","238","88",""
"784","32-R-0020","2024","723","","","","","587","","92","",""
"788","32-R-0015","2024","","","","","","","","","",""
"795","35-R-0111","2024","","","","","","","","","",""
"798","32-R-0025","2024","","","","","20","","","86","",""
"799","32-R-0002","2024","","","","235","","","","","",""
"803","32-R-0057","2024","","","","","","","","","",""
"810","33-R-0001","2024","","","","","","","","","",""
"813","55-R-0022","2024","","","","","","","","","",""
"815","55-R-0108","2024","","","","","","","","","",""
"819","55-R-0010","2024","","","","","","","","","",""
"821","55-R-0013","2024","","","2224","","","","","","",""
"825","55-R-0001","2024","","12","","95","106","933","55","202","",""
"826","55-R-0004","2024","203","","","39","77","8","","57","",""
"832","64-R-0004","2024","","","","153","25","25","","207","",""
"833","64-R-0005","2024","38","52","","","","","10","74","174",""
"834","64-R-0009","2024","","","","","","","","","",""
"835","64-R-0018","2024","","","","","63","","","","138",""
"837","65-R-0002","2024","38","","","","","","11","","117",""
"839","65-R-0001","2024","","","","","","","","","",""
