Customer Number,Certificate Number,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals
"6023078","16-R-0059","2024","","","","","","","","18","",""
"6023105","84-R-0096","2024","","","","","","","","","",""
"6023169","93-R-0598","2024","","","","","6","","","","",""
"6023204","71-R-0100","2024","","","","","","","","39","",""
"6023210","52-R-0121","2024","","","","","","","","","",""
"6023218","23-R-0023","2024","314","52","276","","46","258","64","621","77",""
"6023229","47-R-0018","2024","","","","220","16","17","1","79","",""
"6023276","22-R-0036","2024","451","","1679","76","1045","748","","","",""
"6023308","74-G-0002","2024","","","","","","","","","107",""
"6023309","12-R-0011","2024","","","","","","","","16","",""
"6023330","93-R-0489","2024","","","635","","3488","","","","",""
"6023354","67-R-0005","2024","32","","","","","","39","171","10",""
"6023688","87-R-0029","2024","","","","","","","","","",""
