id,slug,shortDescription,latitude,longitude,locationAccuracy,address,county,country,operator,name,classifications,icon,operational,permittedInstallationLicenseIssued,firstImportedAt,lastImportedAt
"413","6206-explotacion-porcina-de-ciclo-cerrado-jose-martinez","Granja de porcina y cerdas en Murcia","37.748381","-1.496313","Coordinates","Piezas Viejas, Dip. Lebor, Totana, 30850, Murcia, España","Murcia","Región de Murcia","Jose Martinez Lopez","Explotacion Porcina De Ciclo Cerrado - Jose Martinez","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1072","10272-sans","Granja de porcina en Lérida","41.58064","0.875804","Coordinates","14, 25430, Juneda, Lleida, España","Lérida","Cataluña","Jaume Sans Fornells","Sans","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1131","315-agrolerida","Granja de porcina en Lleida","41.641562","0.502007","Coordinates","Montagut, 25180, Alcarràs, Lleida, España","Lleida","Catalunya","Agrolerida, S.a.","Agrolerida","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1151","543-granja-berlanguilla-sa","Granja de porcina en Cádiz","36.653909","-5.908574","Coordinates","Junta De Los Ríos Ca-5.022-p Km 1 (la Barca De La Florida), 11405, Jerez De La Frontera, Cádiz, España","Cádiz","Andalucía","Granja Berlanguilla, S.a.","Granja Berlanguilla, S.a.","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1240","1335-granja-cassanye","Granja de porcina y cerdas en Lleida","41.742811","0.468649","Coordinates","Cami Dels Pedregals Km 3, 25100, Almacelles, Lleida, España","Lleida","Catalunya","Gescaser, S.a.","Granja Cassanye","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1291","1733-esperanza-no-8","Granja de porcina y cerdas en Murcia","37.94","-1.42","Coordinates","La Esperanza, S/n, Mula, 30840, Murcia, España","Murcia","Región de Murcia","Cefu, S.a.","Esperanza Nº 8","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1519","9530-agropecuaria-la-serrota-herreros-de-suso","Granja de porcina y cerdas en Ávila","40.819072","-5.051644","Coordinates","Valcavero, Herreros De Suso, 05146, ávila, España","Ávila","Castilla y León","Agropecuaria La Serrota, S.l.","Agropecuaria La Serrota - Herreros De Suso","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1534","9788-granjas-misanpa-sl","Granja de porcina en Ávila","41.137778","-4.753328","Coordinates","Los Bodones, Palacios De Goda, 05215, ávila, España","Ávila","Castilla y León","Granjas Misanpa, S.l.","Granjas Misanpa, S.l.","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1572","8039-explotacion-porcina-las-canadas","Granja de porcina y cerdas en Badajoz","38.42656","-6.417728","Coordinates","Avda. Del Rosario, Medina De Las Torres, 06300, Badajoz, España","Badajoz","Extremadura","Explotación Porcina ""las Cañadas"", S.l.","Explotación Porcina ""las Cañadas","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1683","8011-garcia-crosanto-sl","Granja de porcina y cerdas en Castelló","40.153322","-0.161236","Coordinates","Poligono 13 Parcela 64, Useras, 12194, Useras/useres, Les, Castellón/castelló, España","Castelló","Comunidad Valenciana","Garcia Crosanto, S.l.","Garcia Crosanto, S.l.","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1689","4978-la-vereda","Granja de avícola en Córdoba","37.566621","-4.655874","Coordinates","N-331 Córdoba - Málaga, Vereda De Panchía, 14550, Montilla, Córdoba, España","Córdoba","Andalucía","Tisca, S.l.","La Vereda","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1707","10683-maria-ascension-larrea-banales","Granja de porcina en Navarra","42.587644","-1.764835","Coordinates","Fuente Caños, Artajona, 31140, Navarra, España","Navarra","Navarra","Maria Ascension Larrea Bañales","Maria Ascension Larrea Bañales","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1802","7197-avicola-mondejana-sl","Granja de avícola en Guadalajara","40.31119","-3.09858","Coordinates","Gu-217. Paraje Gallina Ciega, Polígono 8, Parcelas 77 Y 370, Mondejar, 19110, Mondéjar, Guadalajara, España","Guadalajara","Castilla-La Mancha","Avícola Mondejana, S.l.","Avícola Mondejana S.l.","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1821","11237-es222200000026-sesa","Granja de porcina en Huesca","41.994096","-0.24413","Coordinates","Fraga, Sesa, 22110, Huesca, España","Huesca","Aragón","Aridos Boiria Sl","Sesa","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"1895","9262-es220520000196-cerdos-belver-de-cinca","Granja de porcina en Huesca","41.751887","0.156365","Coordinates","27 Parcela, Belver De Cinca, 22533, Huesca, España","Huesca","Aragón","Agro Ganadera Menen S.l.","Cerdos-belver De Cinca","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2118","1394-granja-marsol","Granja de avícola en Lleida","41.95931","1.188769","Coordinates","Partida Pla D'oliola, La Serra, 25747, Baronia De Rialb, La, Lleida, España","Lleida","Catalunya","Avícola Pla De L´oliva , S.l.","Granja Marsol","GranjaAvícolaIntensiva","https://granjastransparentes.es/images/animals/poultry.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2125","8809-granja-pereto","Granja de porcina y cerdas en Lleida","42.12637","1.056516","Coordinates","Cimadal, 25650, Isona I Conca Dellà, Lleida, España","Lleida","Catalunya","Pereto-erill Sl","Granja Peretó","GranjaPorcinaIntensivaDeCerdas","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2418","11051-agropecuaria-copasa-el-arco","Granja de porcina en Salamanca","41.097568","-5.829239","Coordinates","501 Parcela: 45-46, Arco (el), 37110, Arco, El, Salamanca, España","Salamanca","Castilla y León","Agropecuaria Copasa, S.l.u.","Agropecuaria Copasa - El Arco","GranjaPorcinaIntensiva","https://granjastransparentes.es/images/animals/pig.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
"2424","11185-acuipalma-sl","Granja de peces y crustáceos en Santa Cruz de Tenerife","28.643208","-17.94194","Coordinates","Muelle Este, Puerto, 38770, Tazacorte, Santa Cruz De Tenerife, España","Santa Cruz de Tenerife","Canarias","Acuipalma","Acuipalma , S.l.","Acuicultura","https://granjastransparentes.es/images/animals/fish.png","1","","2024-03-01T00:00:00.000000Z","2024-03-01T00:00:00.000000Z"
